"","AGE","SEX","YEAR"
"976",22,2,1972
"977",23,1,1972
"978",31,2,1972
"979",36,1,1972
"980",32,2,1972
"981",50,1,1972
"982",77,1,1972
"983",88,2,1972
"984",32,2,1972
"985",22,1,1972
"986",55,2,1972
"987",67,1,1972
"988",75,2,1972
"989",45,1,1972
"990",57,1,1972
"991",56,2,1972
"992",30,2,1972
"993",26,1,1972
"994",19,1,1972
"995",64,2,1972
"996",62,1,1972
"997",68,1,1972
"998",63,2,1972
"999",48,1,1972
"1000",28,2,1972
"1001",75,2,1972
"1002",23,2,1972
"1003",72,2,1972
"1004",39,1,1972
"1005",30,1,1972
"1006",29,1,1972
"1007",33,2,1972
"1008",43,1,1972
"1009",51,2,1972
"1010",27,2,1972
"1011",49,2,1972
"1012",56,1,1972
"1013",49,1,1972
"1014",50,1,1972
"1015",39,2,1972
"1016",43,1,1972
"1017",20,1,1972
"1018",34,1,1972
"1019",75,2,1972
"1020",53,2,1972
"1021",29,1,1972
"1022",55,1,1972
"1023",29,2,1972
"1024",51,1,1972
"1025",45,2,1972
"1026",50,1,1972
"1027",50,2,1972
"1028",33,1,1972
"1029",29,2,1972
"1030",23,2,1972
"1031",67,2,1972
"1032",26,1,1972
"1033",36,2,1972
"1034",30,1,1972
"1035",48,1,1972
"1036",46,1,1972
"1037",59,2,1972
"1038",61,2,1972
"1039",-99,2,1972
"1040",23,1,1972
"1041",21,1,1972
"1042",32,1,1972
"1043",68,1,1972
"1044",21,2,1972
"1045",25,1,1972
"1046",49,2,1972
"1047",23,2,1972
"1048",22,2,1972
"1049",24,1,1972
"1050",78,2,1972
"1051",60,1,1972
"1052",83,1,1972
"1053",43,1,1972
"1054",58,2,1972
"1055",27,1,1972
"1056",30,2,1972
"1057",44,1,1972
"1058",28,2,1972
"1059",58,1,1972
"1060",61,1,1972
"1061",36,2,1972
"1062",63,1,1972
"1063",38,1,1972
"1064",55,2,1972
"1065",41,2,1972
"1066",74,1,1972
"1067",34,1,1972
"1068",43,2,1972
"1069",54,1,1972
"1070",25,2,1972
"1071",20,2,1972
"1072",70,2,1972
"1073",52,1,1972
"1074",68,1,1972
"1075",24,1,1972
"1076",51,1,1972
"1077",43,2,1972
"1078",50,1,1972
"1079",30,1,1972
"1080",59,1,1972
"1081",87,1,1972
"1082",26,2,1972
"1083",52,2,1972
"1084",27,2,1972
"1085",47,2,1972
"1086",37,1,1972
"1087",50,1,1972
"1088",44,2,1972
"1089",77,2,1972
"1090",74,1,1972
"1091",30,2,1972
"1092",35,2,1972
"1093",76,2,1972
"1094",35,1,1972
"1095",58,2,1972
"1096",31,2,1972
"1097",51,2,1972
"1098",53,1,1972
"1099",51,1,1972
"1100",46,2,1972
"1101",18,1,1972
"1102",69,1,1972
"1103",59,2,1972
"1104",52,1,1972
"1105",40,2,1972
"1106",66,1,1972
"1107",46,2,1972
"1108",57,1,1972
"1109",30,1,1972
"1110",19,1,1972
"1111",42,2,1972
"1112",29,1,1972
"1113",29,2,1972
"1114",23,2,1972
"1115",66,2,1972
"1116",43,2,1972
"1117",45,1,1972
"1118",68,1,1972
"1119",40,1,1972
"1120",54,2,1972
"1121",26,2,1972
"1122",66,1,1972
"1123",55,1,1972
"1124",72,2,1972
"1125",65,1,1972
"1126",23,2,1972
"1127",57,2,1972
"1128",34,1,1972
"1129",64,1,1972
"1130",42,1,1972
"1131",25,1,1972
"1132",25,2,1972
"1133",74,1,1972
"1134",37,1,1972
"1135",43,2,1972
"1136",67,2,1972
"1137",57,2,1972
"1138",65,2,1972
"1139",33,2,1972
"1140",66,2,1972
"1141",35,1,1972
"1142",20,1,1972
"1143",22,1,1972
"1144",20,1,1972
"1145",22,2,1972
"1146",48,1,1972
"1147",35,1,1972
"1148",45,1,1972
"1149",34,1,1972
"1150",37,1,1972
"1151",47,2,1972
"1152",59,2,1972
"1153",23,2,1972
"1154",29,2,1972
"1155",45,1,1972
"1156",58,1,1972
"1157",23,1,1972
"1158",36,1,1972
"1159",36,2,1972
"1160",76,1,1972
"1161",42,2,1972
"1162",34,2,1972
"1163",30,2,1972
"1164",30,2,1972
"1165",45,2,1972
"1166",26,2,1972
"1167",72,2,1972
"1168",30,2,1972
"1169",57,1,1972
"1170",47,1,1972
"1171",70,1,1972
"1172",20,1,1972
"1173",77,2,1972
"1174",73,1,1972
"1175",65,2,1972
"1176",55,1,1972
"1177",64,2,1972
"1178",33,1,1972
"1179",19,1,1972
"1180",89,2,1972
"1181",53,2,1972
"1182",49,1,1972
"1183",57,2,1972
"1184",70,1,1972
"1185",49,2,1972
"1186",76,1,1972
"1187",51,1,1972
"1188",60,2,1972
"1189",54,2,1972
"1190",71,2,1972
"1191",38,1,1972
"1192",63,1,1972
"1193",78,1,1972
"1194",26,2,1972
"1195",66,2,1972
"1196",65,1,1972
"1197",25,1,1972
"1198",34,2,1972
"1199",65,2,1972
"1200",81,2,1972
"1201",79,1,1972
"1202",80,1,1972
"1203",62,2,1972
"1204",25,1,1972
"1205",75,1,1972
"1206",25,2,1972
"1207",46,2,1972
"1208",20,1,1972
"1209",33,2,1972
"1210",50,2,1972
"1211",62,1,1972
"1212",28,1,1972
"1213",43,2,1972
"1214",31,2,1972
"1215",63,2,1972
"1216",20,1,1972
"1217",29,1,1972
"1218",24,1,1972
"1219",36,1,1972
"1220",48,2,1972
"1221",48,1,1972
"1222",47,1,1972
"1223",53,2,1972
"1224",32,2,1972
"1225",68,2,1972
"1226",38,2,1972
"1227",29,1,1972
"1228",40,2,1972
"1229",89,1,1972
"1230",72,2,1972
"1231",45,1,1972
"1232",60,1,1972
"1233",24,1,1972
"1234",31,1,1972
"1235",24,1,1972
"1236",51,2,1972
"1237",48,1,1972
"1238",44,2,1972
"1239",35,2,1972
"1240",33,2,1972
"1241",42,1,1972
"1242",29,1,1972
"1243",52,1,1972
"1244",36,2,1972
"1245",27,1,1972
"1246",48,2,1972
"1247",60,2,1972
"1248",68,2,1972
"1249",45,1,1972
"1250",23,1,1972
"1251",27,1,1972
"1252",25,2,1972
"1253",20,2,1972
"1254",22,1,1972
"1255",72,2,1972
"1256",38,2,1972
"1257",26,2,1972
"1258",66,2,1972
"1259",34,2,1972
"1260",30,2,1972
"1261",53,2,1972
"1262",37,2,1972
"1263",68,1,1972
"1264",47,1,1972
"1265",23,1,1972
"1266",55,1,1972
"1267",20,1,1972
"1268",37,2,1972
"1269",40,1,1972
"1270",65,2,1972
"1271",28,2,1972
"1272",46,2,1972
"1273",60,1,1972
"1274",19,1,1972
"1275",32,1,1972
"1276",62,2,1972
"1277",63,2,1972
"1278",64,2,1972
"1279",46,1,1972
"1280",57,2,1972
"1281",47,1,1972
"1282",64,1,1972
"1283",48,2,1972
"1284",61,2,1972
"1285",60,2,1972
"1286",29,1,1972
"1287",30,2,1972
"1288",52,1,1972
"1289",45,1,1972
"1290",78,1,1972
"1291",36,1,1972
"1292",82,2,1972
"1293",41,2,1972
"1294",39,2,1972
"1295",26,1,1972
"1296",64,1,1972
"1297",47,1,1972
"1298",21,2,1972
"1299",20,1,1972
"1300",59,2,1972
"1301",25,2,1972
"1302",49,2,1972
"1303",26,2,1972
"1304",30,2,1972
"1305",27,2,1972
"1306",33,1,1972
"1307",26,1,1972
"1308",59,1,1972
"1309",80,1,1972
"1310",22,1,1972
"1311",49,1,1972
"1312",48,2,1972
"1313",34,1,1972
"1314",38,2,1972
"1315",30,2,1972
"1316",54,2,1972
"1317",75,1,1972
"1318",56,2,1972
"1319",19,1,1972
"1320",44,2,1972
"1321",53,1,1972
"1322",35,2,1972
"1323",46,1,1972
"1324",20,2,1972
"1325",50,2,1972
"1326",51,1,1972
"1327",52,1,1972
"1328",72,2,1972
"1329",60,1,1972
"1330",22,1,1972
"1331",39,1,1972
"1332",57,2,1972
"1333",54,2,1972
"1334",49,2,1972
"1335",62,2,1972
"1336",51,1,1972
"1337",73,2,1972
"1338",27,2,1972
"1339",68,1,1972
"1340",44,1,1972
"1341",67,1,1972
"1342",78,2,1972
"1343",60,2,1972
"1344",48,1,1972
"1345",78,2,1972
"1346",47,2,1972
"1347",24,2,1972
"1348",75,1,1972
"1349",78,1,1972
"1350",24,1,1972
"1351",56,1,1972
"1352",19,1,1972
"1353",29,2,1972
"1354",32,2,1972
"1355",21,2,1972
"1356",27,2,1972
"1357",19,1,1972
"1358",56,1,1972
