"","work_hours","1972","1973","1974","1975","1976","1977","1978","1980","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1993","1994","1996","1998","2000","2002","2004","2006","2008","2010","2012","2014","2016","2018","2021","2022","Total"
"22","17",0,1,2,2,0,2,1,3,0,3,2,1,0,6,1,1,1,1,0,0,2,4,3,4,2,3,5,0,1,3,3,1,4,1,63
"23","18",0,5,5,1,5,0,3,5,6,4,5,4,2,5,2,1,1,5,4,5,7,6,5,5,4,9,2,3,6,4,5,2,3,13,142
"24","19",0,1,1,1,0,1,2,1,0,0,0,2,0,0,1,1,0,2,0,4,5,2,3,0,2,6,5,1,5,0,1,1,1,0,49
"25","20",0,24,20,17,16,18,25,30,33,29,33,33,25,40,23,29,31,36,36,62,72,47,63,61,57,87,34,50,47,52,47,45,83,93,1398
"26","21",0,4,2,6,0,3,3,4,3,3,1,2,2,3,1,5,3,5,7,1,6,5,7,2,1,7,5,1,2,6,5,2,6,5,118
"27","22",0,4,3,3,4,2,0,1,2,1,2,5,1,7,2,2,6,3,3,11,3,8,4,5,3,7,8,6,3,2,7,9,7,2,136
"28","23",0,5,1,8,0,0,2,1,3,0,3,4,1,2,1,5,0,4,3,5,4,5,4,3,3,2,2,0,1,2,7,2,2,2,87
"29","24",0,11,8,12,7,10,9,8,14,17,11,8,8,20,11,9,11,7,14,38,15,19,8,22,41,34,20,13,19,18,7,10,22,18,499
"30","25",0,11,12,12,16,9,9,20,20,11,18,22,14,20,12,22,9,8,22,32,31,30,30,26,33,42,30,25,14,24,37,19,40,34,714
"31","26",0,2,1,7,0,0,2,0,3,3,0,1,0,2,1,0,4,3,4,5,3,4,5,4,6,5,4,4,2,2,15,2,1,7,102
"32","27",0,5,0,1,3,1,2,6,2,0,4,3,3,1,3,2,1,0,0,2,6,1,7,8,2,19,4,7,6,4,8,3,3,2,119
"33","28",0,10,5,5,6,3,6,3,2,3,10,2,7,13,5,11,7,6,5,9,8,13,10,13,10,10,2,8,2,17,14,9,9,12,255
"34","29",0,2,1,1,0,1,0,0,1,1,1,2,3,2,2,1,1,2,2,2,1,4,1,2,0,7,1,4,1,2,1,2,3,2,56
"35","30",0,19,27,29,23,26,28,19,41,47,23,19,30,30,25,30,28,31,24,65,63,68,56,67,58,100,50,52,58,68,66,65,67,71,1473
"36","31",0,4,0,0,0,2,3,3,1,2,2,4,2,0,1,2,1,3,0,6,3,2,2,3,2,5,2,0,2,1,1,0,0,4,63
"37","32",0,9,12,20,22,17,11,13,22,25,21,12,19,26,18,15,15,29,15,35,41,42,28,36,31,50,23,25,27,23,43,23,37,33,818
"38","33",0,1,0,7,1,3,1,0,7,4,0,3,1,2,3,1,3,3,1,6,6,2,2,3,3,6,7,2,4,3,9,5,6,2,107
"39","34",0,4,2,2,2,1,1,6,2,0,0,7,3,2,0,5,1,7,3,7,4,10,2,7,8,9,2,3,4,6,10,4,7,14,145
"40","35",0,38,31,29,34,33,33,29,43,35,28,18,34,41,19,19,27,25,36,39,50,38,53,44,54,90,32,34,35,45,40,49,40,39,1234
"41","36",0,9,5,1,5,9,8,9,8,9,8,15,7,15,16,9,6,7,9,27,31,16,22,18,22,27,13,14,19,17,24,30,31,20,486
"42","37",0,11,11,14,15,7,18,12,19,17,15,11,9,11,11,7,15,6,11,23,13,12,17,26,15,23,17,10,12,21,22,12,24,18,485
"43","38",0,13,1,8,8,24,21,8,27,19,11,27,15,21,17,21,27,13,15,41,26,34,26,29,42,48,15,30,21,17,18,19,24,19,705
"44","39",0,3,4,4,3,2,2,2,7,7,6,4,2,3,1,3,2,3,3,3,11,8,8,4,8,6,6,5,3,9,8,0,4,4,148
"45","40",0,300,340,308,328,379,336,326,395,336,326,326,300,401,342,306,298,302,288,633,617,598,631,533,548,883,377,330,344,528,525,438,890,811,14623
"46","41",0,2,0,3,5,5,8,6,4,2,4,5,5,3,1,3,2,5,3,7,10,10,8,8,5,6,4,6,6,4,10,3,11,9,173
"47","42",0,12,13,10,9,11,19,20,19,17,13,16,8,11,16,13,17,8,20,17,41,26,26,23,28,50,34,28,18,18,39,25,29,26,680
"48","43",0,6,6,7,7,5,4,6,6,4,13,6,5,9,4,11,9,3,7,18,12,17,19,19,14,40,14,7,12,5,10,10,19,11,345
"49","44",0,9,12,8,7,15,8,13,10,7,8,13,10,14,5,10,9,7,17,20,26,18,28,19,28,26,12,9,11,9,11,20,18,12,449
"50","45",0,22,28,34,22,35,29,39,41,36,37,31,40,52,50,43,35,41,50,92,100,94,127,107,84,145,61,66,55,73,103,77,133,110,2092
"51","46",0,6,8,8,3,6,8,6,7,5,7,16,8,14,7,6,19,7,10,17,20,15,17,8,19,20,17,7,14,6,20,11,12,12,366
"52","47",0,1,1,5,3,4,5,4,5,3,6,9,4,8,4,4,10,4,4,10,5,14,9,7,11,15,7,6,3,16,11,3,6,4,211
"53","48",0,30,30,27,31,36,37,25,29,35,22,28,23,43,26,23,25,20,26,57,39,58,46,56,40,57,32,26,34,24,39,26,34,27,1111
"54","49",0,4,1,2,3,5,1,2,1,1,2,3,1,9,3,6,3,7,1,5,8,6,6,7,3,4,5,1,3,2,4,3,3,8,123
"55","50",0,33,46,45,32,45,44,43,41,47,71,54,69,66,71,68,61,70,89,116,162,172,160,134,133,234,106,120,75,148,137,117,158,158,3125
"56","51",0,1,0,1,2,2,4,2,6,3,2,6,5,2,3,3,1,3,3,9,2,2,2,3,0,6,0,2,0,2,2,4,0,3,86
"57","52",0,11,4,5,0,3,8,2,7,1,7,10,8,8,5,9,6,8,10,20,17,18,17,11,17,19,14,25,8,12,10,6,14,9,329
"58","53",0,3,4,2,0,1,2,5,3,5,1,4,5,2,1,3,3,1,2,8,4,7,4,9,8,15,0,0,3,2,6,8,2,10,133
"59","54",0,2,3,4,3,4,5,3,2,6,1,4,1,5,3,4,4,5,4,11,6,9,7,4,0,10,2,3,0,3,10,8,2,6,144
"60","55",0,18,10,10,14,16,15,11,19,8,14,18,20,23,22,24,15,21,38,37,52,32,39,53,41,72,15,25,43,34,40,36,47,49,931
"61","56",0,2,7,6,11,10,7,5,7,8,8,2,7,12,16,8,8,6,5,17,13,21,7,11,17,10,13,9,3,6,12,3,14,10,301
"62","57",0,1,1,1,2,0,1,0,1,2,1,1,2,0,0,2,2,1,2,1,4,2,2,0,3,4,0,0,4,7,4,4,8,3,66
"63","58",0,2,2,0,0,3,1,0,3,2,2,3,2,3,0,2,1,1,5,8,8,4,4,2,5,12,3,2,3,3,1,2,5,7,101
"64","59",0,0,0,1,0,0,0,0,2,0,0,0,0,2,1,0,0,2,1,2,4,1,0,0,0,0,4,1,3,0,0,0,0,2,26
"65","60",0,31,20,25,26,33,30,37,47,36,34,50,46,52,49,54,40,44,53,130,105,112,101,89,115,177,74,61,88,100,80,102,71,84,2196
"66","61",0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,1,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,15
"67","62",0,0,1,1,1,0,2,0,1,3,1,0,7,2,3,5,1,2,1,9,1,3,4,9,2,6,6,2,4,5,3,7,4,1,97
"68","63",0,0,0,0,2,1,1,0,1,3,0,0,2,0,3,1,5,1,0,3,2,1,2,2,1,3,1,0,1,0,1,0,1,0,38
"69","64",0,0,0,1,2,3,0,3,1,0,3,2,0,5,0,1,3,2,0,7,5,0,2,6,3,3,8,1,3,0,4,11,7,3,89
"70","65",0,4,4,2,5,4,6,11,13,9,3,9,7,14,12,6,18,13,20,23,33,18,19,20,23,32,24,8,13,19,18,14,7,24,455
"71","66",0,3,0,0,3,0,1,1,0,2,0,0,1,2,3,0,0,0,1,2,4,1,1,4,1,5,1,0,0,2,0,0,4,0,42
"72","67",0,0,0,0,0,2,2,0,2,2,0,0,0,0,1,0,1,1,1,2,3,2,0,0,0,3,2,5,0,1,1,0,0,0,31
"73","68",0,0,1,3,1,0,0,2,3,0,0,0,1,1,0,2,3,4,1,1,4,5,3,1,3,1,3,4,2,1,4,1,1,1,57
"74","69",0,0,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,11
"75","70",0,13,6,5,9,6,8,10,6,9,11,13,14,9,17,10,12,8,18,24,33,39,22,28,29,45,16,18,25,28,27,23,23,21,585
"76","71",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
"77","72",0,4,2,1,1,2,8,3,2,6,7,3,4,3,1,4,1,5,1,5,2,11,9,13,6,5,4,3,2,2,5,5,6,5,141
"78","73",0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,1,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,2,13
"79","74",0,0,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0,0,1,3,2,0,0,0,3,1,0,0,0,0,0,0,16
"80","75",0,2,3,0,1,2,5,3,2,2,9,5,5,4,2,8,4,3,7,5,4,5,4,6,8,15,1,4,2,4,6,4,2,3,140
"81","76",0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,9
"82","77",0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,3,0,0,0,10
"83","78",0,0,0,1,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,1,0,1,1,0,1,3,1,0,0,0,0,0,0,2,16
"84","79",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,4
"85","80",0,4,5,5,2,9,3,11,9,6,2,10,7,10,7,10,2,9,14,22,24,14,14,9,25,38,22,5,18,15,9,5,14,28,387
"86","81",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,5
"87","82",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,2,0,1,0,0,0,0,1,2,11
"88","83",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,1,1,0,0,0,9
"89","84",0,2,1,0,0,2,6,0,1,3,1,6,1,2,1,1,3,2,0,1,2,1,1,9,4,0,0,1,0,1,5,1,5,2,65
"90","85",0,0,1,0,2,0,0,0,1,0,2,1,1,2,0,0,1,0,0,0,1,0,4,4,4,8,3,1,1,0,1,1,0,1,40
"91","86",0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,7,1,1,1,1,0,4,2,0,0,23
"92","87",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4
"93","88",0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,1,0,10
"94","89+ hrs",0,4,2,8,5,2,7,10,5,8,9,7,8,11,3,6,2,6,1,13,16,16,13,14,11,23,10,13,8,14,11,13,9,10,298
"95","Total",1613,1503,1485,1492,1496,1520,1541,1478,1869,1608,1476,1537,1486,1828,1479,1534,1376,1516,1605,2988,2903,2834,2817,2765,2814,4508,2022,2046,1975,2538,2868,2347,4034,3545,72446
